connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7152,2828746752
nl4py,runExperiment,Wolf Sheep Predation,200,100,5512,2667724800
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12476,11191746560
nl4py,scheduleReportersAndRun,Fire,400,100,9898,3374866432
nl4py,runExperiment,Fire,400,100,9161,3374972928
pynetlogo,repeat_report,Fire,400,100,14962,15022460928
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,228003,45209989120
nl4py,runExperiment,Ethnocentrism,400,1000,200971,43755380736
pynetlogo,repeat_report,Ethnocentrism,400,1000,212097,71218339840
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,9837,3268419584
nl4py,runExperiment,Wolf Sheep Predation,400,100,7294,3343175680
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14817,17578397696
nl4py,scheduleReportersAndRun,Fire,600,100,12044,3922010112
nl4py,runExperiment,Fire,600,100,10469,3677351936
pynetlogo,repeat_report,Fire,600,100,16766,20146688000
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,306591,45278269440
nl4py,runExperiment,Ethnocentrism,600,1000,292478,43828891648
pynetlogo,repeat_report,Ethnocentrism,600,1000,282139,78172880896
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,12932,4270440448
nl4py,runExperiment,Wolf Sheep Predation,600,100,8685,4385136640
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,16929,21342371840
nl4py,scheduleReportersAndRun,Fire,800,100,14475,4673593344
nl4py,runExperiment,Fire,800,100,11829,3919286272
pynetlogo,repeat_report,Fire,800,100,18156,22562074624
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,408181,45400965120
nl4py,runExperiment,Ethnocentrism,800,1000,417158,43868049408
pynetlogo,repeat_report,Ethnocentrism,800,1000,373268,94180306944
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,16597,5572489216
nl4py,runExperiment,Wolf Sheep Predation,800,100,9497,5019942912
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18895,21624786944
nl4py,scheduleReportersAndRun,Fire,1000,100,15907,4752416768
nl4py,runExperiment,Fire,1000,100,14429,3997421568
pynetlogo,repeat_report,Fire,1000,100,19468,22522961920
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,496682,45648678912
nl4py,runExperiment,Ethnocentrism,1000,1000,477731,44028002304
pynetlogo,repeat_report,Ethnocentrism,1000,1000,459538,92769972224
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,17624,5851021312
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11130,5429202944
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20613,24022126592
nl4py,scheduleReportersAndRun,Fire,200,100,8363,3103313920
nl4py,runExperiment,Fire,200,100,7326,3122397184
pynetlogo,repeat_report,Fire,200,100,12046,11213492224
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,117733,28398178304
nl4py,runExperiment,Ethnocentrism,200,1000,107466,27013734400
pynetlogo,repeat_report,Ethnocentrism,200,1000,116020,66488238080
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7304,2606968832
nl4py,runExperiment,Wolf Sheep Predation,200,100,6751,2556329984
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12450,11235713024
nl4py,scheduleReportersAndRun,Fire,400,100,10467,3884756992
nl4py,runExperiment,Fire,400,100,9582,3669520384
pynetlogo,repeat_report,Fire,400,100,14677,15019241472
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,224140,44758568960
nl4py,runExperiment,Ethnocentrism,400,1000,200031,43238051840
pynetlogo,repeat_report,Ethnocentrism,400,1000,210634,72522375168
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,10130,3932291072
nl4py,runExperiment,Wolf Sheep Predation,400,100,7326,3707355136
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14824,17769267200
nl4py,scheduleReportersAndRun,Fire,600,100,12523,3833311232
nl4py,runExperiment,Fire,600,100,10980,3681447936
pynetlogo,repeat_report,Fire,600,100,16818,19976187904
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,309000,45284356096
nl4py,runExperiment,Ethnocentrism,600,1000,294862,43758637056
pynetlogo,repeat_report,Ethnocentrism,600,1000,284365,80250245120
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,13926,3868540928
